,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
0,F1,09/08/2019,19:45,Monaco,Lyon,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,78,76,79,78,77
1,F1,10/08/2019,16:30,Marseille,Reims,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,78,77,71,73,73
2,F1,10/08/2019,19:00,Angers,Bordeaux,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,75,74,75,75,76
3,F1,10/08/2019,19:00,Brest,Toulouse,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,72,72,72,72,74,71
4,F1,10/08/2019,19:00,Dijon,St Etienne,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,72,72,70,73,76,74
5,F1,10/08/2019,19:00,Montpellier,Rennes,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,78,74,75,76,77,76
6,F1,10/08/2019,19:00,Nice,Amiens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,76,74,73,73,71
7,F1,11/08/2019,14:00,Lille,Nantes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,77,77,76,75,73,74
8,F1,11/08/2019,16:00,Strasbourg,Metz,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,75,74,74,73,72,72
9,F1,11/08/2019,20:00,Paris SG,Nimes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,88,84,83,72,70,72
10,F1,16/08/2019,19:45,Lyon,Angers,2.0,13.0,3.0,1,1,0,17.0,2.0,0.0,3.0,14.0,4.0,1,0,0,11.0,2.0,0.0,3.0,79,78,77,74,75,74
11,F1,17/08/2019,16:30,Nantes,Marseille,1.0,13.0,3.0,0,1,1,17.0,4.0,0.0,1.0,10.0,2.0,0,0,1,18.0,1.0,0.0,0.0,75,73,74,80,78,77
12,F1,17/08/2019,19:00,Amiens,Lille,2.0,8.0,2.0,0,1,1,8.0,4.0,1.0,1.0,13.0,3.0,1,0,0,13.0,2.0,0.0,2.0,73,73,71,77,77,76
13,F1,17/08/2019,19:00,Bordeaux,Montpellier,1.0,8.0,3.0,0,1,1,15.0,1.0,0.0,1.0,24.0,5.0,0,0,1,20.0,3.0,0.0,0.0,75,75,76,78,74,75
