,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway
0,F1,07/08/15,Lille,Paris SG,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,F1,08/08/15,Bastia,Rennes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2,F1,08/08/15,Marseille,Caen,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3,F1,08/08/15,Montpellier,Angers,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
4,F1,08/08/15,Nantes,Guingamp,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5,F1,08/08/15,Nice,Monaco,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6,F1,08/08/15,Troyes,Ajaccio GFCO,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7,F1,09/08/15,Bordeaux,Reims,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8,F1,09/08/15,Lyon,Lorient,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9,F1,09/08/15,Toulouse,St Etienne,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
10,F1,14/08/15,Monaco,Lille,1.0,19.0,6.0,1,1,0,18.0,2.0,0.0,2.0,12.0,2.0,0,0,1,20.0,3.0,0.0,0.0,0,1,-1,0
11,F1,15/08/15,Angers,Nantes,1.0,16.0,6.0,1,1,0,15.0,2.0,0.0,2.0,9.0,4.0,1,0,0,13.0,2.0,0.0,1.0,0,1,1,0
12,F1,15/08/15,Caen,Toulouse,2.0,8.0,4.0,1,1,0,10.0,0.0,0.0,1.0,9.0,3.0,1,0,0,10.0,0.0,1.0,2.0,0,1,1,0
13,F1,15/08/15,Guingamp,Lyon,0.0,10.0,4.0,0,1,1,16.0,2.0,0.0,0.0,21.0,6.0,0,1,0,11.0,1.0,0.0,0.0,0,-1,0,0
14,F1,15/08/15,Rennes,Montpellier,2.0,6.0,3.0,0,1,1,19.0,1.0,0.0,1.0,11.0,4.0,0,0,1,12.0,3.0,0.0,0.0,0,-1,-1,0
15,F1,15/08/15,St Etienne,Bordeaux,1.0,11.0,2.0,0,1,1,10.0,1.0,0.0,1.0,14.0,4.0,0,0,1,14.0,2.0,0.0,1.0,0,-1,-1,0
16,F1,15/08/15,Troyes,Nice,1.0,12.0,4.0,0,1,0,11.0,0.0,0.0,0.0,5.0,2.0,0,0,1,18.0,2.0,1.0,1.0,0,0,-1,0
17,F1,16/08/15,Lorient,Bastia,1.0,10.0,5.0,0,1,0,12.0,2.0,0.0,0.0,11.0,3.0,1,0,0,15.0,0.0,1.0,2.0,0,0,1,0
18,F1,16/08/15,Paris SG,Ajaccio GFCO,2.0,7.0,2.0,1,1,0,17.0,2.0,1.0,1.0,6.0,1.0,0,1,0,8.0,4.0,0.0,0.0,0,1,0,0
19,F1,16/08/15,Reims,Marseille,2.0,14.0,6.0,1,1,0,12.0,2.0,0.0,2.0,17.0,4.0,0,0,1,10.0,1.0,0.0,0.0,0,1,-1,0
20,F1,21/08/15,Montpellier,Paris SG,0.0,7.5,2.0,0,1,2,10.5,2.0,0.0,0.0,12.5,4.0,2,0,0,12.5,1.5,1.0,1.5,-1,-1,1,1
21,F1,22/08/15,Ajaccio GFCO,Angers,0.0,7.0,1.5,0,2,1,11.0,3.5,0.0,0.0,13.0,4.5,1,1,0,13.5,2.5,0.0,1.0,0,-1,0,1
22,F1,22/08/15,Bastia,Guingamp,2.0,9.0,2.5,1,1,0,15.0,1.0,0.5,1.5,10.5,3.5,0,0,2,16.0,2.0,0.0,0.0,1,0,-1,-1
23,F1,22/08/15,Lyon,Rennes,0.0,16.0,4.5,1,2,0,14.5,1.5,0.0,0.5,8.0,2.5,1,0,1,15.0,2.0,0.0,1.0,0,1,1,-1
24,F1,22/08/15,Nantes,Reims,2.0,5.5,2.5,1,1,0,15.0,3.0,0.0,0.5,14.5,5.5,2,0,0,12.5,2.0,0.0,1.5,1,0,1,1
25,F1,22/08/15,Nice,Caen,2.0,11.5,4.0,0,1,1,15.5,2.5,0.5,2.0,8.5,3.5,2,0,0,12.0,0.5,0.0,1.0,-1,0,1,1
26,F1,22/08/15,Toulouse,Monaco,1.0,11.0,3.5,1,1,1,12.0,1.5,1.0,1.0,14.0,4.5,1,1,0,15.0,1.5,0.0,1.0,1,-1,0,1
27,F1,23/08/15,Lille,Bordeaux,1.0,10.5,2.0,0,1,1,19.5,4.0,0.0,0.0,15.5,3.5,0,1,1,12.5,1.5,0.0,1.0,-1,0,-1,0
28,F1,23/08/15,Lorient,St Etienne,0.0,11.0,4.5,0,2,0,12.5,2.5,0.0,0.5,9.0,2.0,0,1,1,13.5,1.5,0.0,1.0,0,0,0,-1
29,F1,23/08/15,Marseille,Troyes,2.0,15.0,4.0,0,1,2,12.0,1.5,0.5,0.0,11.5,5.5,0,2,0,11.0,1.5,0.5,1.5,-1,-1,0,0
30,F1,28/08/15,Guingamp,Marseille,2.0,12.0,3.666666666666666,0,2,3,15.0,2.333333333333333,0.0,0.0,15.333333333333332,5.0,1,0,2,10.666666666666666,1.3333333333333333,1.0,2.0,-1,-2,1,-1
31,F1,29/08/15,Angers,Nice,1.0,11.666666666666664,4.666666666666667,2,3,0,12.333333333333336,2.333333333333333,0.0,1.3333333333333333,10.0,4.0,1,1,1,12.666666666666664,2.0,0.3333333333333333,2.0,0,2,1,0
32,F1,29/08/15,Caen,Lyon,0.0,9.666666666666666,4.333333333333333,2,2,1,13.333333333333332,1.3333333333333333,0.0,1.0,15.666666666666664,4.333333333333333,1,1,1,13.666666666666664,1.3333333333333333,0.0,0.6666666666666666,1,-1,-1,1
33,F1,29/08/15,Lille,Ajaccio GFCO,2.0,12.0,3.0,0,2,1,16.666666666666668,3.0000000000000004,0.0,0.0,7.333333333333332,2.0,0,1,2,11.333333333333336,3.0,0.0,0.0,-1,0,-1,-1
34,F1,29/08/15,Reims,Lorient,2.0,10.333333333333334,4.0,2,2,1,11.666666666666664,2.333333333333333,0.0,1.0,10.666666666666668,3.6666666666666665,0,2,1,12.333333333333332,1.6666666666666663,0.3333333333333333,0.3333333333333333,1,-1,-1,0
35,F1,29/08/15,Rennes,Toulouse,2.0,7.333333333333334,2.6666666666666665,2,2,1,14.333333333333332,2.333333333333333,0.0,1.3333333333333333,11.666666666666664,3.666666666666666,1,1,1,12.333333333333332,1.0,1.3333333333333333,1.0,1,1,1,-1
36,F1,29/08/15,Troyes,Montpellier,1.0,9.666666666666666,4.0,0,3,1,10.333333333333332,1.3333333333333333,0.3333333333333333,1.0,8.333333333333334,2.333333333333333,0,0,3,11.333333333333332,2.0,0.0,0.0,0,-1,-2,-1
37,F1,30/08/15,Bordeaux,Nantes,2.0,14.333333333333336,3.666666666666666,0,2,1,16.0,2.666666666666667,0.0,0.6666666666666666,8.0,3.6666666666666665,2,1,0,14.0,2.333333333333333,0.0,0.6666666666666666,-1,0,2,0
38,F1,30/08/15,Monaco,Paris SG,0.0,14.0,4.0,1,3,0,16.666666666666668,2.333333333333333,0.0,1.0,11.333333333333336,4.333333333333333,3,0,0,11.0,1.3333333333333333,1.0,1.3333333333333333,0,1,1,2
39,F1,30/08/15,St Etienne,Bastia,2.0,10.0,3.0,1,3,1,17.0,2.0,0.0,1.0,9.333333333333334,3.333333333333333,2,1,0,14.666666666666668,1.3333333333333333,0.3333333333333333,2.0,0,1,2,0
40,F1,11/09/15,Paris SG,Bordeaux,1.0,13.25,5.25,4,3,0,11.25,1.25,0.25,1.75,15.5,3.75,1,2,1,14.25,2.75,0.0,1.0,1,3,1,0
41,F1,12/09/15,Lorient,Angers,2.0,11.25,3.75,0,3,2,11.25,1.5,0.25,0.5,10.0,4.0,2,2,0,12.75,2.25,0.0,1.25,-1,-1,0,2
42,F1,12/09/15,Lyon,Lille,1.0,15.0,4.5,2,3,1,14.5,1.0,0.0,1.5,12.25,3.5,1,2,1,15.75,2.5,0.0,0.25,-1,2,1,0
43,F1,12/09/15,Montpellier,St Etienne,0.0,9.5,2.75,0,2,3,11.0,1.75,0.0,0.0,13.25,3.75,2,1,1,15.5,1.75,0.0,1.25,-2,-1,1,1
44,F1,12/09/15,Nice,Guingamp,0.0,10.25,4.25,1,2,1,11.5,2.0,0.25,1.75,12.0,4.0,1,0,3,13.75,2.0,0.0,0.5,1,0,1,-1
45,F1,12/09/15,Toulouse,Reims,1.0,10.75,3.5,1,3,2,11.5,1.5,0.5,1.0,11.25,5.5,3,0,1,11.75,2.5,0.0,1.75,1,-2,2,-1
46,F1,12/09/15,Troyes,Caen,0.0,9.25,3.25,0,4,1,11.75,1.5,0.25,0.75,10.75,4.75,2,0,2,13.25,1.25,0.25,0.75,0,-1,-1,-1
47,F1,13/09/15,Ajaccio GFCO,Monaco,0.0,8.5,3.0,0,3,3,12.75,3.0,0.0,0.0,11.25,3.5,1,2,1,14.25,1.75,0.0,0.75,-1,-2,-1,1
48,F1,13/09/15,Marseille,Bastia,2.0,15.0,5.25,1,2,3,11.25,2.25,0.25,1.5,8.5,2.75,2,1,1,12.5,1.25,2.25,1.75,1,-2,2,-1
49,F1,13/09/15,Nantes,Rennes,0.0,8.75,3.0,2,2,1,14.75,2.5,0.25,0.5,8.75,3.25,3,0,1,13.75,2.25,0.0,1.75,2,-1,2,1
50,F1,18/09/15,Rennes,Lille,1.0,10.2,3.8,4,3,1,13.2,2.4,0.0,1.7999999999999998,11.6,3.4,1,3,1,16.6,2.8,0.0,0.2,2,2,1,0
51,F1,19/09/15,Angers,Troyes,2.0,9.4,3.4,2,5,1,13.8,2.0,0.0,1.2,10.2,3.8000000000000007,0,3,2,10.8,2.0,0.2,0.8,0,-1,-1,-1
52,F1,19/09/15,Bastia,Nice,0.0,8.0,2.6,2,3,2,11.8,1.2,0.6000000000000001,1.6,11.4,3.6000000000000005,1,2,2,11.2,1.8,0.2,1.4,2,-2,-1,0
53,F1,19/09/15,Caen,Montpellier,2.0,11.6,5.4,3,3,2,12.4,1.0,0.4,1.2000000000000002,10.8,3.8,0,1,4,12.0,2.0,0.0,0.2,-1,1,-3,-1
54,F1,19/09/15,Guingamp,Ajaccio GFCO,2.0,11.2,3.8,2,3,3,15.6,2.2,0.0,0.6000000000000001,11.6,3.2,0,1,4,13.400000000000002,3.0,0.0,0.0,1,1,-2,-2
55,F1,19/09/15,Reims,Paris SG,1.0,10.8,5.2,3,3,1,12.4,2.4,0.0,1.8000000000000005,14.4,5.2,4,1,0,11.2,1.4,1.0,1.7999999999999998,2,-1,1,3
56,F1,20/09/15,Bordeaux,Toulouse,1.0,14.4,3.6,1,3,1,14.2,2.6,0.2,1.2000000000000002,11.6,4.0,1,2,2,11.2,1.6,1.2,1.2000000000000002,1,0,1,-2
57,F1,20/09/15,Marseille,Lyon,1.0,14.4,5.6,2,2,3,11.2,2.2,0.2,2.0,14.6,4.8,2,2,1,14.400000000000002,1.0,0.0,1.2000000000000002,2,-2,-1,2
58,F1,20/09/15,Monaco,Lorient,0.0,11.599999999999998,4.4,2,4,1,14.4,2.0,0.0,0.8,11.8,4.2,1,2,2,11.0,1.4,0.2,1.0,-1,2,1,-1
59,F1,20/09/15,St Etienne,Nantes,2.0,13.0,3.6,3,4,1,16.4,1.8000000000000005,0.0,1.4,9.0,3.0000000000000004,2,1,2,14.6,2.4,1.4,0.4,1,2,-1,-1
60,F1,22/09/15,Angers,Reims,1.0,10.5,3.5,3,5,1,14.0,2.0,0.16666666666666666,1.1666666666666663,10.166666666666666,4.833333333333334,3,2,1,11.833333333333332,2.333333333333333,0.0,1.6666666666666663,1,-1,2,-1
61,F1,22/09/15,Paris SG,Guingamp,2.0,14.833333333333336,5.333333333333333,4,5,0,10.833333333333336,1.4999999999999998,0.16666666666666666,1.6666666666666663,11.666666666666668,3.833333333333333,3,0,3,14.0,2.1666666666666665,0.0,0.8333333333333333,1,3,2,1
62,F1,23/09/15,Ajaccio GFCO,Rennes,1.0,10.833333333333332,3.1666666666666665,0,4,5,13.833333333333332,3.1666666666666665,0.16666666666666666,0.16666666666666666,10.0,3.6666666666666665,4,1,1,13.833333333333336,2.5,0.0,1.6666666666666663,-2,-3,2,2
63,F1,23/09/15,Lorient,Caen,2.0,12.5,4.666666666666667,2,4,2,11.666666666666664,1.833333333333333,0.16666666666666666,1.3333333333333333,12.333333333333332,5.5,4,0,2,12.833333333333332,1.1666666666666663,1.1666666666666667,1.3333333333333333,1,1,1,1
64,F1,23/09/15,Lyon,Bastia,2.0,14.166666666666664,4.833333333333333,2,5,1,14.0,1.0,0.0,1.1666666666666667,8.0,2.5,2,1,3,11.666666666666668,1.1666666666666663,2.1666666666666665,1.5000000000000002,-1,2,-1,-2
65,F1,23/09/15,Nice,Bordeaux,2.0,11.0,4.0,2,3,2,11.666666666666664,1.8333333333333333,0.16666666666666666,1.6666666666666667,14.833333333333336,3.833333333333333,1,4,1,14.833333333333336,2.5000000000000004,1.0,1.1666666666666667,-1,1,1,0
66,F1,23/09/15,Toulouse,Marseille,1.0,11.166666666666664,4.166666666666666,1,5,2,11.166666666666664,1.6666666666666663,0.5,1.1666666666666667,14.333333333333336,5.333333333333334,2,1,3,11.833333333333336,2.5,1.1666666666666667,1.8333333333333333,1,-2,2,-2
67,F1,23/09/15,Troyes,St Etienne,0.0,10.833333333333336,3.1666666666666665,0,5,3,11.499999999999998,2.1666666666666665,0.16666666666666666,0.6666666666666666,12.833333333333336,3.5,4,1,1,15.500000000000002,1.8333333333333333,0.0,1.4999999999999998,-1,-2,2,2
68,F1,24/09/15,Montpellier,Monaco,0.0,9.5,3.5,0,3,5,14.0,2.333333333333333,0.0,0.3333333333333333,11.833333333333332,4.666666666666667,2,2,2,13.833333333333336,2.333333333333333,0.0,1.0,-3,-2,-2,2
