,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway,Home attendance,Away attendance
0,F1,12/08/16,Bastia,Paris SG,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,73,72,72,85,83,82,28,500,0,0,0,0,10511,26366
1,F1,12/08/16,Monaco,Guingamp,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,80,79,75,74,74,145,26,0,0,0,0,9420,19416
2,F1,13/08/16,Bordeaux,St Etienne,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,77,76,74,75,75,76,60,70,0,0,0,0,24217,23040
3,F1,13/08/16,Caen,Lorient,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,73,73,73,74,72,72,29,36,0,0,0,0,15786,19914
4,F1,13/08/16,Dijon,Nantes,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,72,72,70,74,73,73,26,40,0,0,0,0,10128,19547
5,F1,13/08/16,Metz,Lille,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,75,71,72,75,75,75,30,75,0,0,0,0,16196,18478
6,F1,13/08/16,Montpellier,Angers,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,76,74,73,72,74,73,42,25,0,0,0,0,12356,20294
7,F1,14/08/16,Marseille,Toulouse,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,78,77,75,74,73,100,35,0,0,0,0,39898,19819
8,F1,14/08/16,Nancy,Lyon,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,69,72,68,80,79,76,30,235,0,0,0,0,17516,22257
9,F1,14/08/16,Nice,Rennes,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,75,74,77,73,74,42,50,0,0,0,0,22949,19531
10,F1,19/08/16,Lyon,Caen,2,9.0,7.0,1,1,0,14.0,2.0,0.0,3.0,15.0,6.0,1,0,0,13.0,1.0,0.0,3.0,80,79,76,73,73,73,235,29,0,1,1,0,38203,19992
11,F1,20/08/16,Angers,Nice,0,12.0,2.0,0,1,1,12.0,2.0,0.0,0.0,7.0,1.0,1,0,0,12.0,0.0,0.0,1.0,72,74,73,74,75,74,25,42,0,-1,1,0,11954,22293
12,F1,20/08/16,Lille,Dijon,2,13.0,4.0,0,1,1,9.0,2.0,0.0,2.0,6.0,2.0,0,0,1,6.0,0.0,0.0,0.0,75,75,75,72,72,70,75,26,0,-1,-1,0,29487,19831
13,F1,20/08/16,Lorient,Bastia,0,8.0,2.0,0,1,1,9.0,2.0,1.0,2.0,10.0,0.0,0,0,1,15.0,3.0,0.0,0.0,74,72,72,73,72,72,36,28,0,-1,-1,0,11832,20847
14,F1,20/08/16,Nantes,Monaco,0,10.0,3.0,1,1,0,11.0,2.0,0.0,1.0,18.0,4.0,0,1,0,14.0,3.0,0.0,2.0,74,73,73,80,80,79,40,145,0,1,0,0,23152,24370
15,F1,20/08/16,Rennes,Nancy,2,19.0,4.0,0,1,1,9.0,1.0,0.0,0.0,11.0,1.0,0,0,1,18.0,4.0,0.0,0.0,77,73,74,69,72,68,50,30,0,-1,-1,0,22689,18961
16,F1,20/08/16,Toulouse,Bordeaux,2,6.0,2.0,0,1,0,12.0,1.0,0.0,0.0,10.0,6.0,1,0,0,9.0,1.0,0.0,3.0,75,74,73,77,76,74,35,60,0,0,1,0,17068,22352
17,F1,21/08/16,Guingamp,Marseille,2,9.0,5.0,0,1,0,15.0,4.0,0.0,2.0,10.0,2.0,0,1,0,14.0,3.0,0.0,0.0,75,74,74,80,78,77,26,100,0,0,0,0,14790,25215
18,F1,21/08/16,Paris SG,Metz,2,9.0,6.0,1,1,0,16.0,3.0,0.0,1.0,7.0,3.0,1,0,0,13.0,2.0,0.0,3.0,85,83,82,75,71,72,500,30,0,1,1,0,45159,19465
19,F1,21/08/16,St Etienne,Montpellier,2,14.0,5.0,0,1,1,20.0,2.0,0.0,2.0,14.0,3.0,1,0,0,9.0,1.0,0.0,1.0,75,75,76,76,74,73,70,42,0,-1,1,0,27227,18795
20,F1,26/08/16,Marseille,Lorient,2,9.0,2.5,0,2,1,14.5,2.0,0.0,0.5,9.0,2.5,0,0,2,12.0,2.0,2.0,1.0,80,78,77,74,72,72,100,36,0,-1,-1,-1,39898,19914
21,F1,27/08/16,Caen,Bastia,2,11.0,3.5,1,1,1,13.5,2.5,0.0,1.5,13.0,3.5,1,0,1,13.0,3.5,0.0,1.5,73,73,73,73,72,72,29,28,1,-1,-1,1,15786,20847
22,F1,27/08/16,Dijon,Lyon,2,6.5,2.0,0,1,2,10.5,1.0,0.0,0.0,15.0,7.0,2,0,0,15.5,2.5,0.0,2.5,72,72,70,80,79,76,26,235,-1,-1,1,1,10128,22257
23,F1,27/08/16,Metz,Angers,2,9.0,4.5,1,1,1,9.5,1.5,0.0,1.5,16.5,4.0,0,0,2,11.5,1.5,0.0,0.0,75,71,72,72,74,73,30,25,1,-1,-1,-1,16196,20294
24,F1,27/08/16,Montpellier,Rennes,1,13.5,3.0,1,1,1,10.5,1.0,0.0,1.0,14.0,3.5,1,0,1,10.0,2.5,0.0,1.0,76,74,73,77,73,74,42,50,1,-1,1,-1,12356,19531
25,F1,27/08/16,Nancy,Guingamp,0,9.5,1.0,0,1,2,13.0,3.0,0.0,0.0,11.5,4.5,1,1,0,12.0,2.0,0.0,2.0,69,72,68,75,74,74,30,26,-1,-1,1,0,17516,19416
26,F1,27/08/16,Nice,Lille,1,10.5,4.5,2,1,0,11.0,1.0,0.0,1.0,11.5,3.5,1,0,1,10.5,1.5,0.0,1.5,74,75,74,75,75,75,42,75,1,1,1,-1,22949,18478
27,F1,28/08/16,Bordeaux,Nantes,2,9.5,4.0,1,1,1,11.5,2.0,0.5,2.0,9.0,2.5,1,0,1,13.0,2.0,0.0,0.5,77,76,74,74,73,73,60,40,1,-1,-1,1,24217,19547
28,F1,28/08/16,Monaco,Paris SG,2,13.0,3.5,1,2,0,16.0,3.5,0.0,1.5,19.0,7.0,2,0,0,13.0,2.0,0.0,2.0,80,80,79,85,83,82,145,500,0,1,1,1,9420,26366
29,F1,28/08/16,St Etienne,Toulouse,1,14.0,5.0,1,1,1,14.5,1.5,0.0,2.5,8.5,3.5,1,1,0,15.5,1.0,0.0,2.0,75,75,76,75,74,73,70,35,1,-1,1,0,27227,19819
30,F1,09/09/16,Paris SG,St Etienne,1,14.666666666666664,5.333333333333333,2,2,1,12.0,2.0,0.0,1.6666666666666663,14.666666666666668,4.333333333333334,1,1,1,12.666666666666668,1.6666666666666663,0.0,1.6666666666666663,85,83,82,75,75,76,500,70,1,-1,1,-1,45159,23040
31,F1,10/09/16,Angers,Dijon,2,18.666666666666668,5.0,0,2,3,11.333333333333332,1.6666666666666663,0.0,0.0,7.0,3.0,1,0,2,10.666666666666666,1.3333333333333333,0.0,1.3333333333333333,72,74,73,72,72,70,25,26,-1,-2,1,-1,11954,19831
32,F1,10/09/16,Bastia,Toulouse,2,10.333333333333332,2.666666666666667,1,2,2,15.333333333333332,4.0,0.0,1.0,8.666666666666666,3.0,1,2,0,15.666666666666664,1.0,0.0,1.3333333333333333,73,72,72,75,74,73,28,35,0,-1,1,0,10511,19819
33,F1,10/09/16,Guingamp,Montpellier,1,12.333333333333336,5.0,2,2,0,11.333333333333336,1.6666666666666663,0.0,2.0,12.666666666666664,3.666666666666667,1,1,1,11.333333333333332,1.0,0.0,1.0,75,74,74,76,74,73,26,42,1,1,1,-1,14790,18795
34,F1,10/09/16,Lille,Monaco,0,10.333333333333332,3.333333333333333,1,2,1,11.333333333333332,1.6666666666666663,0.0,1.3333333333333333,11.666666666666664,3.0,2,1,0,13.666666666666668,2.6666666666666665,0.0,2.0,75,75,75,80,80,79,75,145,1,-1,1,1,29487,24370
35,F1,10/09/16,Lorient,Nancy,0,9.333333333333334,3.333333333333333,0,2,3,11.666666666666664,1.6666666666666663,1.0,0.6666666666666666,12.666666666666664,1.6666666666666663,0,0,3,11.666666666666664,2.6666666666666665,0.0,0.0,74,72,72,69,72,68,36,30,-1,-2,-2,-1,11832,18961
36,F1,10/09/16,Lyon,Bordeaux,0,18.333333333333336,7.666666666666668,2,2,1,13.333333333333336,2.333333333333333,0.0,2.333333333333333,9.333333333333334,5.0,2,0,1,13.0,2.0,1.0,1.6666666666666663,80,79,76,77,76,74,235,60,1,-1,2,-1,38203,22352
37,F1,11/09/16,Nantes,Metz,0,11.333333333333332,3.6666666666666665,1,2,2,14.0,1.6666666666666663,0.0,0.3333333333333333,8.333333333333334,3.6666666666666665,2,0,1,9.333333333333332,1.6666666666666663,0.0,1.6666666666666663,74,73,73,75,71,72,40,30,-1,-1,2,-1,23152,19465
38,F1,11/09/16,Nice,Marseille,2,11.333333333333332,5.0,2,2,0,11.666666666666668,1.3333333333333333,0.0,1.0,10.333333333333332,4.333333333333333,1,1,1,14.666666666666668,1.6666666666666663,0.0,1.0,74,75,74,80,78,77,42,100,1,1,1,-1,22949,25215
39,F1,11/09/16,Rennes,Caen,2,13.333333333333332,3.0,1,2,1,12.0,2.333333333333333,0.0,1.0,13.0,3.666666666666667,2,0,1,14.0,2.0,0.0,1.6666666666666663,77,73,74,73,73,73,50,29,1,-1,2,-1,22689,19992
40,F1,16/09/16,Caen,Paris SG,0,11.75,3.75,2,2,2,12.25,1.75,0.0,1.25,14.75,5.0,2,1,1,11.75,2.0,0.0,1.5,73,73,73,85,83,82,29,500,2,-2,1,-1,15786,26366
41,F1,17/09/16,Bordeaux,Angers,0,9.5,5.25,3,2,1,11.5,1.75,0.25,2.0,17.25,5.5,1,0,3,11.75,1.5,0.25,0.75,77,76,74,72,74,73,60,25,1,1,1,-1,24217,20294
42,F1,17/09/16,Dijon,Metz,1,7.0,2.75,1,2,3,10.25,1.5,0.25,1.25,8.75,3.75,3,0,1,11.75,2.25,0.0,2.0,72,72,70,75,71,72,26,30,1,-2,1,1,10128,19465
43,F1,17/09/16,Lorient,Lille,2,9.25,3.0,0,2,4,11.5,1.25,0.75,0.5,9.25,3.25,1,1,2,13.25,2.0,0.0,1.25,74,72,72,75,75,75,36,75,-2,-2,-1,0,11832,18478
44,F1,17/09/16,Monaco,Rennes,2,11.0,3.75,3,3,0,13.5,2.25,0.0,2.5,11.25,3.25,2,1,1,12.0,2.25,0.0,1.25,80,80,79,77,73,74,145,50,1,2,2,-1,9420,19531
45,F1,17/09/16,Nancy,Nantes,1,11.25,2.0,1,2,3,13.75,3.25,0.0,0.5,11.75,3.5,1,0,3,12.5,1.5,0.0,0.25,69,72,68,74,73,73,30,40,-1,1,-2,-1,17516,19547
46,F1,17/09/16,Toulouse,Guingamp,2,8.5,3.0,1,3,1,17.0,1.75,0.0,1.25,12.25,4.75,2,2,0,12.0,1.5,0.0,1.75,75,74,73,75,74,74,35,26,1,-1,1,1,17068,19416
