,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
0,F1,09/08/08,Auxerre,Nantes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,HautDeTableau,HautDeTableau
1,F1,09/08/08,Bordeaux,Caen,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,HautDeTableau,HautDeTableau
2,F1,09/08/08,Le Havre,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,HautDeTableau,HautDeTableau
3,F1,09/08/08,Le Mans,Lorient,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,MilieuDeTableau,HautDeTableau
4,F1,09/08/08,Monaco,Paris SG,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,MilieuDeTableau,MilieuDeTableau
5,F1,09/08/08,Nancy,Lille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,MilieuDeTableau,MilieuDeTableau
6,F1,09/08/08,Rennes,Marseille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,BasDeTableau,MilieuDeTableau
7,F1,09/08/08,Sochaux,Grenoble,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,BasDeTableau,BasDeTableau
8,F1,09/08/08,Valenciennes,St Etienne,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-09,BasDeTableau,BasDeTableau
9,F1,10/08/08,Lyon,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2008-08-10,BasDeTableau,BasDeTableau
10,F1,16/08/08,Caen,Valenciennes,2.0,8.0,1.0,0,0,1,22.0,4.0,0.0,1.0,11.0,4.0,1,0,0,19.0,3.0,0.0,1.0,2008-08-16,MilieuDeTableau,MilieuDeTableau
11,F1,16/08/08,Lille,Le Mans,0.0,11.0,4.0,0,1,0,16.0,2.0,1.0,0.0,10.0,2.0,0,0,1,22.0,2.0,0.0,0.0,2008-08-16,BasDeTableau,BasDeTableau
12,F1,16/08/08,Nantes,Monaco,1.0,15.0,4.0,0,0,1,18.0,0.0,0.0,1.0,10.0,4.0,1,0,0,10.0,1.0,0.0,1.0,2008-08-16,MilieuDeTableau,MilieuDeTableau
13,F1,16/08/08,Nice,Nancy,2.0,15.0,3.0,0,0,1,21.0,2.0,0.0,0.0,8.0,0.0,0,1,0,16.0,3.0,0.0,0.0,2008-08-16,BasDeTableau,BasDeTableau
14,F1,16/08/08,Paris SG,Bordeaux,2.0,7.0,3.0,0,0,1,15.0,2.0,0.0,0.0,24.0,11.0,1,0,0,10.0,3.0,0.0,2.0,2008-08-16,BasDeTableau,HautDeTableau
