,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,08/08/09,Auxerre,Sochaux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,08/08/09,Grenoble,Marseille,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F1,08/08/09,Le Mans,Lyon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,F1,08/08/09,Monaco,Toulouse,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,F1,08/08/09,Montpellier,Paris SG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,F1,08/08/09,Rennes,Boulogne,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,F1,08/08/09,St Etienne,Nice,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,F1,08/08/09,Valenciennes,Nancy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,F1,09/08/09,Bordeaux,Lens,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F1,09/08/09,Lille,Lorient,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,F1,15/08/09,Lens,Auxerre,2,7.0,1.0,0.0,1.0,1.0,20.0,1.0,0.0,1.0,12.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
11,F1,15/08/09,Lorient,Montpellier,1,6.0,4.0,1.0,1.0,0.0,17.0,5.0,0.0,2.0,10.0,2.0,0.0,1.0,0.0,15.0,1.0,1.0,1.0
12,F1,15/08/09,Lyon,Valenciennes,2,20.0,6.0,0.0,1.0,0.0,18.0,2.0,0.0,2.0,19.0,2.0,0.0,0.0,1.0,22.0,3.0,1.0,1.0
13,F1,15/08/09,Nancy,Monaco,2,11.0,5.0,1.0,1.0,0.0,16.0,3.0,0.0,3.0,11.0,6.0,1.0,0.0,0.0,17.0,2.0,1.0,1.0
14,F1,15/08/09,Paris SG,Le Mans,2,10.0,2.0,0.0,1.0,0.0,18.0,3.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,18.0,3.0,0.0,2.0
15,F1,15/08/09,Sochaux,Bordeaux,0,9.0,3.0,1.0,1.0,0.0,18.0,2.0,0.0,1.0,13.0,5.0,1.0,0.0,0.0,14.0,0.0,0.0,4.0
16,F1,15/08/09,Toulouse,St Etienne,2,11.0,4.0,0.0,1.0,1.0,19.0,3.0,0.0,0.0,13.0,5.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0
17,F1,16/08/09,Boulogne,Grenoble,2,13.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0
18,F1,16/08/09,Marseille,Lille,2,16.0,5.0,1.0,1.0,0.0,19.0,1.0,0.0,2.0,19.0,6.0,0.0,0.0,1.0,20.0,2.0,0.0,1.0
19,F1,16/08/09,Nice,Rennes,1,8.0,3.0,1.0,1.0,0.0,19.0,2.0,0.0,2.0,15.0,6.0,1.0,0.0,0.0,12.0,1.0,0.0,3.0
20,F1,22/08/09,Auxerre,Lyon,0,12.0,2.0,0.0,0.5,1.0,13.5,0.5,0.0,0.0,22.0,7.5,0.5,0.5,0.0,16.0,1.5,0.0,1.5
21,F1,22/08/09,Le Mans,Nancy,2,8.5,4.5,0.0,1.0,0.5,17.5,2.5,0.0,1.5,9.0,5.0,1.0,0.0,0.0,13.0,2.0,0.0,3.5
22,F1,22/08/09,Monaco,Lorient,2,15.0,7.0,0.5,0.5,0.5,13.5,2.0,0.5,0.5,9.0,4.5,0.5,0.5,0.0,13.5,3.0,0.0,2.0
23,F1,22/08/09,Montpellier,Sochaux,2,12.0,4.0,0.0,1.0,0.0,19.0,2.0,0.5,1.5,8.5,5.0,0.5,0.0,0.5,15.0,2.0,0.0,1.5
24,F1,22/08/09,Rennes,Marseille,1,12.5,5.5,0.5,0.5,0.0,17.5,0.5,0.5,2.0,16.5,4.5,1.0,0.0,0.0,19.0,2.0,0.0,1.5
25,F1,22/08/09,St Etienne,Boulogne,0,9.5,4.0,0.0,0.5,1.0,17.5,1.0,0.0,0.5,13.0,5.0,0.5,0.0,0.5,15.0,1.0,0.0,1.0
26,F1,22/08/09,Valenciennes,Paris SG,0,12.0,1.5,0.0,0.5,1.0,19.0,3.0,0.5,0.5,11.5,3.5,0.5,0.5,0.0,15.5,1.5,0.0,2.0
27,F1,23/08/09,Bordeaux,Nice,2,16.0,6.0,1.0,0.5,0.0,13.5,0.0,0.0,3.5,11.0,3.5,0.5,0.5,0.0,20.0,1.5,0.0,1.5
28,F1,23/08/09,Grenoble,Lens,0,7.5,1.5,0.0,0.5,1.0,14.5,2.0,0.0,0.5,7.5,2.5,0.5,0.0,0.5,17.0,1.0,0.0,1.5
29,F1,23/08/09,Lille,Toulouse,1,14.5,5.5,0.0,0.5,1.0,22.0,2.0,0.5,0.5,12.5,5.5,0.5,0.0,0.5,22.5,2.0,0.0,1.5
30,F1,29/08/09,Boulogne,Auxerre,1,9.666666666666666,3.9999999999999996,0.6666666666666666,0.6666666666666666,0.3333333333333333,15.666666666666668,1.3333333333333333,0.3333333333333333,1.0,12.666666666666668,3.0,0.0,0.0,1.0,12.333333333333334,0.6666666666666666,0.0,0.0
31,F1,29/08/09,Lens,Rennes,1,7.666666666666666,2.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,16.666666666666668,1.6666666666666665,0.0,1.6666666666666665,13.0,5.333333333333334,0.3333333333333333,0.6666666666666666,0.0,18.666666666666668,0.6666666666666666,1.0,1.6666666666666665
32,F1,29/08/09,Lorient,Le Mans,2,10.333333333333332,3.3333333333333335,0.3333333333333333,1.0,0.3333333333333333,11.333333333333334,2.6666666666666665,0.0,1.3333333333333333,12.666666666666666,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0,2.333333333333333,0.0,1.6666666666666665
33,F1,29/08/09,Lyon,Nancy,2,18.333333333333336,6.333333333333333,0.6666666666666666,0.6666666666666666,0.0,15.333333333333336,1.3333333333333333,0.0,2.0,8.333333333333334,4.0,0.6666666666666666,0.0,0.3333333333333333,15.0,2.333333333333333,0.0,2.6666666666666665
34,F1,29/08/09,Nice,Montpellier,0,13.0,4.0,0.3333333333333333,1.0,0.3333333333333333,21.333333333333332,2.0,0.0,1.0,13.0,3.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,23.0,2.0,0.3333333333333333,1.6666666666666665
35,F1,29/08/09,Sochaux,Monaco,2,8.666666666666666,4.666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,18.0,2.6666666666666665,0.0,1.0,13.333333333333334,6.666666666666666,0.6666666666666666,0.0,0.3333333333333333,16.666666666666668,2.0,0.3333333333333333,1.0
36,F1,29/08/09,St Etienne,Grenoble,2,16.0,4.666666666666667,0.0,0.3333333333333333,1.0,16.333333333333336,0.6666666666666666,0.0,0.3333333333333333,10.0,3.6666666666666665,0.0,0.0,1.0,15.0,2.0,0.0,0.6666666666666666
37,F1,30/08/09,Marseille,Bordeaux,1,16.0,4.666666666666667,0.6666666666666666,0.6666666666666666,0.0,17.333333333333332,2.0,0.0,1.3333333333333333,14.666666666666666,6.0,1.0,0.0,0.0,15.333333333333332,0.3333333333333333,0.0,3.666666666666666
38,F1,30/08/09,Paris SG,Lille,2,12.333333333333332,5.666666666666667,0.6666666666666666,0.6666666666666666,0.0,15.666666666666664,1.6666666666666665,0.0,2.333333333333333,14.333333333333332,5.333333333333334,0.0,0.3333333333333333,0.6666666666666666,20.0,1.3333333333333333,1.0,0.6666666666666666
39,F1,30/08/09,Toulouse,Valenciennes,0,11.333333333333334,4.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,22.0,2.333333333333333,0.0,1.3333333333333333,14.666666666666668,3.0,0.0,0.0,1.0,18.0,2.3333333333333335,0.3333333333333333,1.0
40,F1,12/09/09,Bordeaux,Grenoble,2,12.75,5.75,0.75,0.5,0.0,16.75,1.5,0.0,2.75,10.75,3.25,0.0,0.0,1.0,14.25,2.0,0.0,0.5
41,F1,12/09/09,Le Mans,Marseille,0,12.75,5.25,0.25,0.75,0.5,17.75,2.25,0.0,1.25,16.0,4.25,0.5,0.5,0.0,17.75,2.0,0.0,1.0
42,F1,12/09/09,Lille,Sochaux,2,15.0,5.5,0.0,0.75,0.75,18.75,1.25,0.25,0.5,9.25,4.25,0.5,0.0,0.5,20.0,2.25,0.0,1.0
43,F1,12/09/09,Lyon,Lorient,2,17.0,5.75,0.75,0.5,0.0,17.5,1.0,0.0,2.25,10.5,3.0,0.5,0.25,0.25,12.0,2.75,0.0,1.25
44,F1,12/09/09,Montpellier,Lens,2,13.25,4.25,0.5,0.75,0.0,20.75,1.75,0.25,2.0,8.25,3.25,0.5,0.25,0.25,15.5,1.5,0.25,1.75
45,F1,12/09/09,Nancy,Toulouse,1,9.5,4.5,0.5,0.75,0.5,15.0,2.5,0.0,2.25,13.75,5.0,0.25,0.25,0.5,19.75,2.0,0.0,1.0
46,F1,12/09/09,Valenciennes,Boulogne,1,13.25,2.75,0.25,0.5,0.75,17.75,1.75,0.25,1.0,9.0,3.0,0.5,0.25,0.25,14.5,1.0,1.0,0.75
47,F1,13/09/09,Auxerre,Nice,2,12.0,2.5,0.0,0.5,0.75,12.0,0.5,0.0,0.0,14.75,4.0,0.25,0.25,0.5,20.0,1.5,0.25,0.75
48,F1,13/09/09,Monaco,Paris SG,2,14.0,6.25,0.5,0.5,0.5,18.75,2.25,0.25,0.75,11.75,6.0,0.75,0.25,0.0,15.5,1.25,0.0,2.5
49,F1,13/09/09,Rennes,St Etienne,2,14.75,5.0,0.25,0.75,0.0,16.75,1.25,0.5,1.75,16.0,4.5,0.25,0.0,0.75,16.5,0.75,0.0,0.5
50,F1,19/09/09,Boulogne,Bordeaux,0,9.2,3.0,0.4,0.8,0.2,14.600000000000001,1.0,0.2,0.8,12.600000000000001,5.199999999999999,0.8,0.2,0.0,16.2,1.2,0.0,2.4000000000000004
51,F1,19/09/09,Grenoble,Rennes,0,10.0,3.4000000000000004,0.0,0.6,1.0,17.4,2.0,0.0,0.4,16.0,5.4,0.4,0.6,0.0,15.999999999999998,1.4,2.0,1.5999999999999999
52,F1,19/09/09,Lorient,Nancy,2,11.399999999999999,3.0,0.4,0.8,0.4,13.600000000000001,2.6,0.0,1.0,9.2,3.8,0.4,0.2,0.4,15.2,2.6,0.2,1.7999999999999998
53,F1,19/09/09,Marseille,Montpellier,2,15.4,4.0,0.6,0.8,0.0,17.2,1.8,0.0,1.2000000000000002,13.399999999999999,4.2,0.6,0.4,0.0,20.8,2.0,0.2,1.8
54,F1,19/09/09,Nice,Monaco,0,14.0,3.8000000000000003,0.2,0.8,0.6,18.6,1.6,0.2,0.6000000000000001,13.799999999999999,5.8,0.6,0.0,0.4,18.0,2.0000000000000004,0.2,1.0
55,F1,19/09/09,Sochaux,Valenciennes,0,8.6,3.8,0.4,0.6,0.6,19.0,2.2,0.0,0.8,14.8,2.8000000000000003,0.2,0.2,0.6,17.400000000000002,1.4,0.2,1.0
56,F1,19/09/09,St Etienne,Auxerre,1,14.4,3.9999999999999996,0.2,0.4,0.8,16.200000000000003,1.0,0.0,0.4,10.799999999999999,2.6,0.2,0.2,0.6,13.000000000000002,0.8,0.0,0.4
57,F1,20/09/09,Lens,Lille,1,7.8,2.8,0.4,0.8,0.4,16.6,2.0,0.2,1.4,15.4,5.0,0.2,0.2,0.6,18.0,1.0,1.0,0.6000000000000001
58,F1,20/09/09,Paris SG,Lyon,1,12.599999999999998,6.0,0.6,0.6,0.2,14.8,1.4,0.2,2.0,16.6,5.3999999999999995,0.8,0.2,0.0,16.6,1.2000000000000002,0.0,2.0000000000000004
59,F1,20/09/09,Toulouse,Le Mans,2,14.0,4.8,0.2,0.6,0.4,18.799999999999997,2.1999999999999997,0.0,0.8,11.600000000000001,4.4,0.2,0.2,0.6,18.8,2.4,0.0,1.2
60,F1,26/09/09,Auxerre,Grenoble,2,11.166666666666666,2.8333333333333335,0.16666666666666666,0.5,0.5,12.833333333333334,1.0,0.0,0.5,10.166666666666666,2.9999999999999996,0.0,0.0,1.0,16.333333333333332,1.9999999999999998,0.0,0.3333333333333333
61,F1,26/09/09,Lorient,Paris SG,1,12.5,3.5,0.5,0.6666666666666666,0.3333333333333333,14.166666666666668,2.333333333333333,0.0,1.3333333333333333,12.833333333333334,6.166666666666667,0.5,0.3333333333333333,0.16666666666666666,14.499999999999998,1.3333333333333333,1.0,1.8333333333333333
62,F1,26/09/09,Lyon,Toulouse,2,15.666666666666668,5.333333333333333,0.6666666666666666,0.5,0.0,16.0,1.3333333333333333,0.0,1.8333333333333335,14.833333333333334,5.166666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,17.333333333333332,1.8333333333333333,0.0,1.0
63,F1,26/09/09,Monaco,St Etienne,0,13.333333333333334,5.5,0.6666666666666666,0.5,0.3333333333333333,18.333333333333332,2.0,0.16666666666666666,1.3333333333333333,14.666666666666666,4.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,16.0,1.1666666666666665,0.0,0.5
64,F1,26/09/09,Montpellier,Boulogne,2,13.333333333333334,4.166666666666666,0.5,0.6666666666666666,0.16666666666666666,21.333333333333336,2.166666666666667,0.16666666666666666,1.8333333333333333,8.333333333333334,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.833333333333334,1.1666666666666665,1.0,0.6666666666666666
65,F1,26/09/09,Nancy,Sochaux,2,9.333333333333334,3.5,0.3333333333333333,0.8333333333333334,0.5,15.666666666666666,2.5,0.16666666666666666,1.6666666666666667,10.166666666666666,4.333333333333334,0.3333333333333333,0.0,0.6666666666666666,17.333333333333332,2.0,0.16666666666666666,1.0
