,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,21/08/2020,18:00,Bordeaux,Nantes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,22/08/2020,16:00,Dijon,Angers,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F1,22/08/2020,20:00,Lille,Rennes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,F1,23/08/2020,12:00,Monaco,Reims,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,F1,23/08/2020,14:00,Lorient,Strasbourg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,F1,23/08/2020,14:00,Nimes,Brest,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,F1,23/08/2020,16:00,Nice,Lens,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,F1,28/08/2020,20:00,Lyon,Dijon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0
8,F1,29/08/2020,16:00,Rennes,Montpellier,2,16.0,3.0,0.0,1.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F1,29/08/2020,20:00,Strasbourg,Nice,0,7.0,1.0,0.0,1.0,1.0,10.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,17.0,2.0,0.0,2.0
10,F1,30/08/2020,12:00,Reims,Lille,0,9.0,3.0,0.0,1.0,0.0,14.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0
