,Div,Date,HomeTeam,AwayTeam,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,07/08/15,Lille,Paris SG,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,08/08/15,Bastia,Rennes,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,08/08/15,Marseille,Caen,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,08/08/15,Montpellier,Angers,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,08/08/15,Nantes,Guingamp,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,08/08/15,Nice,Monaco,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,08/08/15,Troyes,Ajaccio GFCO,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,09/08/15,Bordeaux,Reims,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,09/08/15,Lyon,Lorient,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,09/08/15,Toulouse,St Etienne,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,14/08/15,Monaco,Lille,19.0,6.0,1,1,0,18.0,2.0,0.0,2.0,12.0,2.0,0,0,1,20.0,3.0,0.0,0.0
11,F1,15/08/15,Angers,Nantes,16.0,6.0,1,1,0,15.0,2.0,0.0,2.0,9.0,4.0,1,0,0,13.0,2.0,0.0,1.0
12,F1,15/08/15,Caen,Toulouse,8.0,4.0,1,1,0,10.0,0.0,0.0,1.0,9.0,3.0,1,0,0,10.0,0.0,1.0,2.0
13,F1,15/08/15,Guingamp,Lyon,10.0,4.0,0,1,1,16.0,2.0,0.0,0.0,21.0,6.0,0,1,0,11.0,1.0,0.0,0.0
14,F1,15/08/15,Rennes,Montpellier,6.0,3.0,0,1,1,19.0,1.0,0.0,1.0,11.0,4.0,0,0,1,12.0,3.0,0.0,0.0
15,F1,15/08/15,St Etienne,Bordeaux,11.0,2.0,0,1,1,10.0,1.0,0.0,1.0,14.0,4.0,0,0,1,14.0,2.0,0.0,1.0
16,F1,15/08/15,Troyes,Nice,12.0,4.0,0,1,0,11.0,0.0,0.0,0.0,5.0,2.0,0,0,1,18.0,2.0,1.0,1.0
17,F1,16/08/15,Lorient,Bastia,10.0,5.0,0,1,0,12.0,2.0,0.0,0.0,11.0,3.0,1,0,0,15.0,0.0,1.0,2.0
18,F1,16/08/15,Paris SG,Ajaccio GFCO,7.0,2.0,1,1,0,17.0,2.0,1.0,1.0,6.0,1.0,0,1,0,8.0,4.0,0.0,0.0
19,F1,16/08/15,Reims,Marseille,14.0,6.0,1,1,0,12.0,2.0,0.0,2.0,17.0,4.0,0,0,1,10.0,1.0,0.0,0.0
20,F1,21/08/15,Montpellier,Paris SG,15.0,4.0,0,1,2,21.0,4.0,0.0,0.0,25.0,8.0,2,0,0,25.0,3.0,1.0,3.0
21,F1,22/08/15,Ajaccio GFCO,Angers,14.0,3.0,0,2,1,22.0,7.0,0.0,0.0,26.0,9.0,1,1,0,27.0,5.0,0.0,2.0
22,F1,22/08/15,Bastia,Guingamp,18.0,5.0,1,1,0,30.0,2.0,1.0,3.0,21.0,7.0,0,0,2,32.0,4.0,0.0,0.0
23,F1,22/08/15,Lyon,Rennes,32.0,9.0,1,2,0,29.0,3.0,0.0,1.0,16.0,5.0,1,0,1,30.0,4.0,0.0,2.0
24,F1,22/08/15,Nantes,Reims,11.0,5.0,1,1,0,30.0,6.0,0.0,1.0,29.0,11.0,2,0,0,25.0,4.0,0.0,3.0
25,F1,22/08/15,Nice,Caen,23.0,8.0,0,1,1,31.0,5.0,1.0,4.0,17.0,7.0,2,0,0,24.0,1.0,0.0,2.0
26,F1,22/08/15,Toulouse,Monaco,22.0,7.0,1,1,1,24.0,3.0,2.0,2.0,28.0,9.0,1,1,0,30.0,3.0,0.0,2.0
27,F1,23/08/15,Lille,Bordeaux,21.0,4.0,0,1,1,39.0,8.0,0.0,0.0,31.0,7.0,0,1,1,25.0,3.0,0.0,2.0
28,F1,23/08/15,Lorient,St Etienne,22.0,9.0,0,2,0,25.0,5.0,0.0,1.0,18.0,4.0,0,1,1,27.0,3.0,0.0,2.0
