,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,10/08/12,Montpellier,Toulouse,1,1,1.0,1,0,2.0,9,12,2,3,18,25,2,5,1,1,1,2
1,F1,11/08/12,Evian Thonon Gaillard,Bordeaux,2,3,0.0,1,2,0.0,9,12,3,9,11,11,5,6,3,3,0,0
2,F1,11/08/12,Nancy,Brest,1,0,2.0,0,0,1.0,11,2,5,1,23,22,11,3,1,2,0,0
3,F1,11/08/12,Nice,Ajaccio,0,1,0.0,0,1,0.0,8,3,2,2,15,18,7,2,2,4,0,1
4,F1,11/08/12,Paris SG,Lorient,2,2,1.0,0,2,0.0,20,12,9,6,11,12,9,2,1,1,0,1
5,F1,11/08/12,Rennes,Lyon,0,1,0.0,0,1,0.0,6,9,1,2,9,16,4,2,0,5,1,0
6,F1,11/08/12,Sochaux,Bastia,2,3,0.0,1,0,2.0,10,10,5,7,13,24,4,5,1,2,0,0
7,F1,11/08/12,St Etienne,Lille,1,2,0.0,0,0,1.0,9,10,4,4,23,12,3,1,2,2,0,0
8,F1,11/08/12,Troyes,Valenciennes,0,1,0.0,0,1,0.0,12,5,3,1,9,8,5,2,2,0,0,0
9,F1,12/08/12,Reims,Marseille,0,1,0.0,0,0,1.0,14,17,4,8,13,8,10,7,2,1,0,0
10,F1,17/08/12,Lille,Nancy,1,1,1.0,1,1,1.0,12,5,4,1,18,18,0,2,2,2,0,1
11,F1,18/08/12,Bastia,Reims,2,1,2.0,0,1,0.0,9,3,3,2,13,14,7,2,2,2,0,0
12,F1,18/08/12,Brest,Evian Thonon Gaillard,1,0,2.0,0,0,1.0,15,8,4,3,12,15,10,8,2,3,0,0
13,F1,18/08/12,Lorient,Montpellier,2,1,2.0,0,1,0.0,12,6,3,4,8,17,4,4,1,3,0,0
14,F1,18/08/12,Lyon,Troyes,4,1,2.0,0,0,1.0,24,6,10,2,16,12,10,3,2,0,0,1
15,F1,18/08/12,Toulouse,St Etienne,2,1,2.0,1,0,2.0,9,11,7,5,14,12,4,4,3,2,0,0
16,F1,18/08/12,Valenciennes,Nice,0,0,1.0,0,0,1.0,8,11,6,4,10,16,8,6,1,3,0,0
17,F1,19/08/12,Ajaccio,Paris SG,0,0,1.0,0,0,1.0,10,7,2,3,7,9,7,4,3,2,0,1
18,F1,19/08/12,Bordeaux,Rennes,1,0,2.0,0,0,1.0,10,11,4,3,11,13,8,5,1,1,0,0
19,F1,19/08/12,Marseille,Sochaux,2,0,2.0,0,0,1.0,23,5,6,2,16,15,9,1,0,0,0,0
20,F1,24/08/12,Evian Thonon Gaillard,Lyon,1,1,1.0,0,0,1.0,18,10,3,2,14,16,6,5,2,2,0,0
21,F1,25/08/12,Nancy,Toulouse,0,1,0.0,0,1,0.0,9,10,3,5,18,19,4,7,1,3,1,0
22,F1,25/08/12,Nice,Lille,2,2,1.0,1,1,1.0,11,10,7,5,19,15,4,7,1,0,0,0
23,F1,25/08/12,Reims,Sochaux,1,0,2.0,0,0,1.0,9,9,2,1,20,15,0,2,0,2,0,1
