,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,09/08/2019,19:45,Monaco,Lyon,0,3,0.0,0,2,0.0,7,13,1,3,10,17,2,5,2,2,1,0
1,F1,10/08/2019,16:30,Marseille,Reims,0,2,0.0,0,0,1.0,10,8,2,5,18,8,5,3,1,0,0,0
2,F1,10/08/2019,19:00,Angers,Bordeaux,3,1,2.0,3,1,2.0,14,8,4,3,11,15,4,3,2,1,0,0
3,F1,10/08/2019,19:00,Brest,Toulouse,1,1,1.0,1,0,2.0,16,13,5,3,11,14,4,7,0,0,0,0
4,F1,10/08/2019,19:00,Dijon,St Etienne,1,2,0.0,1,2,0.0,15,12,7,4,17,10,12,5,0,2,0,0
5,F1,10/08/2019,19:00,Montpellier,Rennes,0,1,0.0,0,1,0.0,24,9,5,3,20,19,7,1,3,3,0,1
6,F1,10/08/2019,19:00,Nice,Amiens,2,1,2.0,1,0,2.0,17,8,6,2,10,8,7,3,3,4,0,1
7,F1,11/08/2019,14:00,Lille,Nantes,2,1,2.0,1,0,2.0,13,13,3,3,13,17,5,11,2,4,0,0
8,F1,11/08/2019,16:00,Strasbourg,Metz,1,1,1.0,1,0,2.0,13,7,2,3,6,12,3,4,0,1,0,0
9,F1,11/08/2019,20:00,Paris SG,Nimes,3,0,2.0,1,0,2.0,12,5,5,1,17,8,2,6,2,0,0,0
10,F1,16/08/2019,19:45,Lyon,Angers,6,0,2.0,3,0,2.0,11,10,9,3,7,14,2,5,1,2,0,0
11,F1,17/08/2019,16:30,Nantes,Marseille,0,0,1.0,0,0,1.0,13,9,6,2,16,18,7,3,0,3,0,0
12,F1,17/08/2019,19:00,Amiens,Lille,1,0,2.0,0,0,1.0,8,10,3,1,13,7,3,10,1,1,0,1
13,F1,17/08/2019,19:00,Bordeaux,Montpellier,1,1,1.0,0,1,0.0,13,10,4,4,15,21,3,5,2,1,0,0
14,F1,17/08/2019,19:00,Metz,Monaco,3,0,2.0,1,0,2.0,18,12,10,6,16,7,6,4,1,2,0,1
15,F1,17/08/2019,19:00,Nimes,Nice,1,2,0.0,1,2,0.0,18,6,5,3,21,12,2,1,5,5,2,1
16,F1,17/08/2019,19:00,Toulouse,Dijon,1,0,2.0,0,0,1.0,18,18,7,5,11,5,7,5,2,0,0,0
17,F1,18/08/2019,14:00,St Etienne,Brest,1,1,1.0,0,1,0.0,19,9,5,4,16,8,4,2,1,2,0,0
18,F1,18/08/2019,16:00,Reims,Strasbourg,0,0,1.0,0,0,1.0,11,4,1,1,18,19,2,4,2,0,0,0
19,F1,18/08/2019,20:00,Rennes,Paris SG,2,1,2.0,1,1,1.0,11,9,4,2,15,19,4,7,1,5,0,0
20,F1,24/08/2019,19:00,Amiens,Nantes,1,2,0.0,0,0,1.0,3,25,1,6,9,13,2,5,1,1,1,0
21,F1,24/08/2019,19:00,Angers,Metz,3,0,2.0,2,0,2.0,15,4,5,2,15,8,2,1,1,2,0,0
22,F1,24/08/2019,19:00,Brest,Reims,1,0,2.0,0,0,1.0,8,10,4,2,18,14,6,5,1,1,0,0
23,F1,24/08/2019,19:00,Dijon,Bordeaux,0,2,0.0,0,1,0.0,10,10,1,3,12,18,3,7,0,2,0,0
24,F1,25/08/2019,14:00,Monaco,Nimes,2,2,1.0,2,0,2.0,16,14,6,4,14,17,6,7,2,1,1,0
25,F1,25/08/2019,16:00,Strasbourg,Rennes,0,2,0.0,0,1,0.0,19,7,3,4,13,13,6,0,4,2,1,0
26,F1,25/08/2019,20:00,Paris SG,Toulouse,4,0,2.0,0,0,1.0,21,3,11,0,8,13,12,1,0,1,0,0
27,F1,27/08/2019,18:00,Montpellier,Lyon,1,0,2.0,1,0,2.0,19,14,5,4,14,11,8,2,2,4,0,1
28,F1,28/08/2019,18:00,Lille,St Etienne,3,0,2.0,1,0,2.0,16,9,7,4,9,12,3,3,0,0,0,0
29,F1,28/08/2019,20:00,Nice,Marseille,1,2,0.0,0,1,0.0,12,12,3,5,7,13,4,3,1,1,0,0
30,F1,30/08/2019,19:45,Metz,Paris SG,0,2,0.0,0,2,0.0,7,10,2,4,11,13,4,7,1,0,0,0
31,F1,31/08/2019,16:30,Lyon,Bordeaux,1,1,1.0,1,0,2.0,10,18,3,6,12,14,4,5,4,3,1,0
32,F1,31/08/2019,19:00,Angers,Dijon,2,0,2.0,0,0,1.0,12,5,3,2,11,17,5,3,0,2,0,0
33,F1,31/08/2019,19:00,Nantes,Montpellier,1,0,2.0,0,0,1.0,14,8,7,1,14,12,6,2,2,2,0,0
34,F1,31/08/2019,19:00,Nimes,Brest,3,0,2.0,2,0,2.0,21,7,8,3,11,17,8,2,3,4,0,0
35,F1,31/08/2019,19:00,Toulouse,Amiens,2,0,2.0,0,0,1.0,13,10,4,1,15,8,4,3,0,1,0,0
36,F1,01/09/2019,14:00,Reims,Lille,2,0,2.0,0,0,1.0,12,11,5,3,19,15,5,1,3,2,0,1
37,F1,01/09/2019,14:00,Rennes,Nice,1,2,0.0,1,0,2.0,11,11,3,7,13,13,8,6,2,3,0,0
38,F1,01/09/2019,16:00,Strasbourg,Monaco,2,2,1.0,1,2,0.0,14,16,5,6,14,17,6,4,4,3,0,0
39,F1,01/09/2019,20:00,Marseille,St Etienne,1,0,2.0,1,0,2.0,9,12,2,3,16,7,5,6,5,2,0,0
