,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
0,F1,4/8/2017,Monaco,Toulouse,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9243,21412,30655
1,F1,5/8/2017,Lyon,Strasbourg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46005,20496,66501
2,F1,5/8/2017,Metz,Guingamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14844,22165,37009
3,F1,5/8/2017,Montpellier,Caen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13458,20701,34159
4,F1,5/8/2017,Paris SG,Amiens,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46930,22086,69016
5,F1,5/8/2017,St Etienne,Nice,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28142,22201,50343
6,F1,5/8/2017,Troyes,Rennes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11723,21642,33365
7,F1,6/8/2017,Angers,Bordeaux,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11065,22009,33074
8,F1,6/8/2017,Lille,Nantes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33200,22181,55381
9,F1,6/8/2017,Marseille,Dijon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47314,21658,68972
10,F1,11/8/2017,Nice,Troyes,0,6,2,0,1,1,8,1,0,0,11,4,0,1,0,13,1,0,1,22876,21602,44478
11,F1,11/8/2017,Rennes,Lyon,0,16,4,0,1,0,8,0,0,1,12,7,1,0,0,11,2,0,4,23111,24477,47588
12,F1,12/8/2017,Amiens,Angers,0,7,1,0,1,1,12,1,0,0,9,5,0,1,0,16,3,0,2,9489,21306,30795
13,F1,12/8/2017,Bordeaux,Metz,2,7,4,0,1,0,15,2,0,2,6,4,0,0,1,9,1,0,1,26048,22504,48552
14,F1,12/8/2017,Caen,St Etienne,0,8,1,0,1,1,11,1,0,0,8,3,1,0,0,11,2,0,1,17187,22820,40007
15,F1,12/8/2017,Nantes,Marseille,0,9,4,0,1,1,17,3,0,0,18,5,1,0,0,7,1,0,3,24559,26919,51478
16,F1,12/8/2017,Toulouse,Montpellier,2,6,3,0,1,1,23,3,0,2,10,2,1,0,0,9,2,0,1,16929,20958,37887
17,F1,13/08/17,Dijon,Monaco,0,12,1,0,1,1,10,0,0,0,17,7,1,0,0,12,1,0,3,12228,23813,36041
18,F1,13/08/17,Guingamp,Paris SG,0,13,5,1,1,0,13,2,0,3,16,5,1,0,0,9,0,0,2,14502,29502,44004
19,F1,13/08/17,Strasbourg,Lille,2,7,1,0,1,1,16,3,0,0,14,5,1,0,0,11,2,0,3,24064,21878,45942
20,F1,18/08/17,Metz,Monaco,0,6,2.5,0,1,2,9.5,1.5,0,0.5,16.5,6.5,2,0,0,12,1.5,0,3.5,14844,23813,38657
21,F1,19/08/17,Lyon,Bordeaux,1,14.5,7.5,2,1,0,13.5,2.5,0,3,9.5,4.5,1,1,0,16,1.5,0,2,46005,22009,68014
22,F1,19/08/17,Montpellier,Strasbourg,1,12,1.5,1,1,1,10.5,2.5,0,0.5,14.5,5,1,0,1,12,2,0,1.5,13458,20496,33954
23,F1,19/08/17,Nice,Guingamp,2,13,4,0,1,2,9.5,1.5,0,0.5,8.5,2.5,1,0,1,11,2,0,1.5,22876,22165,45041
24,F1,19/08/17,Rennes,Dijon,1,16.5,4.5,0,1,1,8.5,0.5,0,1,13.5,2,0,0,2,10,0,0,0.5,23111,21658,44769
25,F1,19/08/17,St Etienne,Amiens,2,7,3.5,2,1,0,13,1.5,0,1,8.5,1,0,0,2,10,2,0,0,28142,22086,50228
26,F1,19/08/17,Troyes,Nantes,0,10.5,4,1,2,0,10.5,2,0,1.5,11.5,3.5,0,0,2,15,2,0,0,11723,22181,33904
27,F1,20/08/17,Lille,Caen,0,13,3.5,1,1,1,12,2,0.5,1.5,9,2.5,0,0,2,11.5,1,0,0,33200,20701,53901
