,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,10/08/2018,Marseille,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,11/08/2018,Angers,Nimes,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,11/08/2018,Lille,Rennes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,11/08/2018,Montpellier,Dijon,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,11/08/2018,Nantes,Monaco,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,11/08/2018,Nice,Reims,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,11/08/2018,St Etienne,Guingamp,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,12/08/2018,Bordeaux,Strasbourg,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,12/08/2018,Lyon,Amiens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,12/08/2018,Paris SG,Caen,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,17/08/2018,Reims,Lyon,2.0,5.0,3.0,1,0,0,14.0,2.0,0.0,1.0,15.0,7.0,1,0,0,9.0,0.0,0.0,2.0
11,F1,18/08/2018,Amiens,Montpellier,0.0,10.0,1.0,0,0,1,17.0,2.0,0.0,0.0,16.0,7.0,0,0,1,15.0,2.0,0.0,1.0
12,F1,18/08/2018,Caen,Nice,1.0,5.0,1.0,0,0,1,7.0,0.0,0.0,0.0,19.0,1.0,0,0,1,13.0,1.0,0.0,0.0
13,F1,18/08/2018,Dijon,Nantes,2.0,9.0,4.0,1,0,0,21.0,2.0,0.0,2.0,16.0,4.0,0,0,1,8.0,1.0,0.0,1.0
14,F1,18/08/2018,Guingamp,Paris SG,0.0,11.0,5.0,0,0,1,11.0,1.0,0.0,1.0,11.0,8.0,1,0,0,13.0,1.0,0.0,3.0
15,F1,18/08/2018,Monaco,Lille,1.0,11.0,6.0,1,0,0,15.0,0.0,0.0,3.0,15.0,6.0,1,0,0,12.0,1.0,0.0,3.0
16,F1,18/08/2018,Rennes,Angers,2.0,8.0,2.0,0,0,1,13.0,0.0,0.0,1.0,21.0,7.0,0,0,1,20.0,2.0,0.0,3.0
17,F1,19/08/2018,Nimes,Marseille,2.0,14.0,5.0,1,0,0,12.0,2.0,1.0,4.0,23.0,10.0,1,0,0,7.0,1.0,0.0,4.0
18,F1,19/08/2018,Strasbourg,St Etienne,1.0,17.0,6.0,1,0,0,12.0,0.0,0.0,2.0,11.0,6.0,1,0,0,14.0,3.0,0.0,2.0
19,F1,19/08/2018,Toulouse,Bordeaux,2.0,5.0,1.0,0,0,1,20.0,3.0,0.0,0.0,5.0,2.0,0,0,1,6.0,1.0,1.0,0.0
20,F1,24/08/2018,Lyon,Strasbourg,2.0,17.0,6.0,1,0,1,9.5,0.0,0.0,1.0,14.0,5.5,1,1,0,11.5,0.5,0.0,1.5
21,F1,25/08/2018,Amiens,Reims,2.0,10.5,1.5,0,0,2,16.0,1.5,0.0,0.5,6.0,2.5,2,0,0,12.5,2.0,0.0,1.0
22,F1,25/08/2018,Montpellier,St Etienne,1.0,11.5,5.0,1,0,1,15.0,2.5,0.0,1.5,10.0,4.0,1,1,0,10.5,2.5,1.0,1.5
23,F1,25/08/2018,Nantes,Caen,1.0,11.5,2.0,0,0,2,10.5,1.0,0.5,0.5,9.0,2.5,0,1,1,14.5,1.0,0.0,0.5
24,F1,25/08/2018,Nice,Dijon,0.0,17.5,3.0,0,1,1,12.0,1.5,0.0,0.5,11.5,5.5,2,0,0,19.5,1.0,0.0,2.0
25,F1,25/08/2018,Paris SG,Angers,2.0,14.0,7.5,2,0,0,14.5,1.0,0.0,3.0,14.0,3.5,0,0,2,15.5,2.0,0.0,1.5
26,F1,25/08/2018,Toulouse,Nimes,2.0,9.0,3.0,1,0,1,15.0,2.0,0.0,1.0,14.0,6.0,2,0,0,11.5,2.5,1.0,3.5
27,F1,26/08/2018,Bordeaux,Monaco,2.0,10.0,5.0,0,0,2,8.5,1.0,0.5,0.5,10.5,3.5,1,1,0,12.5,0.0,0.0,1.5
28,F1,26/08/2018,Lille,Guingamp,2.0,14.0,5.0,1,1,0,13.0,0.5,0.0,1.5,11.0,4.0,0,0,2,13.0,0.5,0.0,1.0
29,F1,26/08/2018,Marseille,Rennes,1.0,16.5,7.5,1,0,1,9.0,1.0,0.0,2.5,6.5,2.0,1,0,1,10.5,0.5,0.0,1.0
30,F1,31/08/2018,Lyon,Nice,0.0,18.666666666666664,7.333333333333334,2,0,1,10.666666666666668,0.3333333333333333,0.0,1.3333333333333333,17.0,3.0,0,1,2,11.666666666666666,1.6666666666666665,0.0,0.3333333333333333
31,F1,01/09/2018,Angers,Lille,2.0,13.0,4.333333333333334,0,0,3,11.0,1.3333333333333333,0.0,1.3333333333333333,13.666666666666664,5.666666666666666,2,1,0,13.0,1.0,0.0,2.0
32,F1,01/09/2018,Dijon,Caen,0.0,10.666666666666668,5.333333333333334,3,0,0,19.333333333333332,1.6666666666666665,0.0,2.6666666666666665,7.0,2.333333333333333,0,2,1,15.0,1.6666666666666665,1.0,0.6666666666666666
33,F1,01/09/2018,Guingamp,Toulouse,0.0,11.666666666666666,4.0,0,0,3,13.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,9.333333333333334,3.666666666666667,2,0,1,15.666666666666668,1.6666666666666665,0.0,1.0
