,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,07/08/10,Auxerre,Lorient,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,07/08/10,Lens,Nancy,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,07/08/10,Lyon,Monaco,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,07/08/10,Marseille,Caen,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,07/08/10,Nice,Valenciennes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,07/08/10,Paris SG,St Etienne,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,07/08/10,Rennes,Lille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,07/08/10,Sochaux,Arles,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,07/08/10,Toulouse,Brest,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,08/08/10,Montpellier,Bordeaux,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,14/08/10,Arles,Lens,0.0,10.0,1.0,0,0,1,19.0,4.0,0.0,1.0,17.0,6.0,0,0,1,17.0,3.0,0.0,1.0
11,F1,15/08/10,Bordeaux,Toulouse,0.0,8.0,1.0,0,0,1,13.0,2.0,0.0,0.0,9.0,4.0,1,0,0,21.0,3.0,0.0,2.0
12,F1,14/08/10,Brest,Auxerre,1.0,9.0,1.0,0,0,1,18.0,2.0,0.0,0.0,11.0,6.0,0,1,0,14.0,3.0,0.0,2.0
13,F1,15/08/10,Caen,Lyon,2.0,12.0,2.0,1,0,0,23.0,3.0,0.0,2.0,16.0,5.0,0,1,0,14.0,2.0,0.0,0.0
14,F1,15/08/10,Lille,Paris SG,1.0,14.0,5.0,0,1,0,21.0,3.0,0.0,1.0,19.0,6.0,1,0,0,11.0,2.0,0.0,3.0
15,F1,14/08/10,Lorient,Nice,0.0,10.0,2.0,0,1,0,9.0,3.0,0.0,2.0,10.0,2.0,0,1,0,11.0,0.0,0.0,0.0
16,F1,14/08/10,Nancy,Rennes,0.0,19.0,6.0,1,0,0,18.0,1.0,1.0,2.0,20.0,5.0,0,1,0,23.0,3.0,0.0,1.0
17,F1,14/08/10,St Etienne,Sochaux,2.0,14.0,5.0,0,0,1,12.0,1.0,0.0,1.0,14.0,6.0,1,0,0,16.0,2.0,0.0,2.0
18,F1,14/08/10,Valenciennes,Marseille,2.0,11.0,1.0,0,1,0,20.0,3.0,0.0,0.0,16.0,3.0,0,0,1,16.0,2.0,0.0,1.0
19,F1,17/08/10,Monaco,Montpellier,1.0,9.0,4.0,0,1,0,24.0,3.0,0.0,0.0,9.0,3.0,1,0,0,22.0,5.0,0.0,1.0
20,F1,21/08/10,Auxerre,Valenciennes,1.0,11.5,5.0,0,2,0,15.0,3.0,0.0,1.5,12.0,3.5,1,1,0,20.0,3.0,0.0,1.5
21,F1,21/08/10,Lens,Monaco,1.0,13.5,5.0,1,0,1,17.0,1.5,0.0,1.0,9.5,3.0,0,2,0,20.5,2.0,0.0,0.0
22,F1,21/08/10,Lyon,Brest,2.0,16.0,3.5,0,1,1,15.5,1.5,0.5,1.0,10.0,2.0,0,1,1,23.5,2.0,0.0,0.5
23,F1,21/08/10,Marseille,Lorient,2.0,15.0,3.0,0,0,2,13.0,3.0,0.0,1.5,10.5,2.0,0,1,1,10.0,2.0,0.0,1.5
24,F1,21/08/10,Nice,Nancy,1.0,12.0,3.5,1,1,0,13.0,1.0,0.0,1.0,14.0,4.0,1,0,1,15.5,0.5,1.5,1.0
25,F1,21/08/10,Rennes,St Etienne,1.0,17.5,5.5,1,1,0,18.0,1.5,0.0,2.0,15.5,6.0,1,0,1,16.0,1.5,0.0,2.0
26,F1,21/08/10,Toulouse,Arles,2.0,7.5,3.5,2,0,0,21.5,3.5,0.0,2.0,10.5,2.0,0,0,2,16.0,2.5,0.0,0.5
27,F1,22/08/10,Montpellier,Caen,1.0,14.0,3.5,1,1,0,17.0,4.0,0.0,0.5,12.0,4.5,2,0,0,19.5,2.5,0.0,2.5
28,F1,22/08/10,Paris SG,Bordeaux,0.0,14.5,5.0,1,1,0,12.5,3.0,0.0,1.5,9.0,2.0,0,0,2,15.0,2.0,0.0,0.5
29,F1,22/08/10,Sochaux,Lille,1.0,15.0,6.0,1,0,1,15.0,1.5,0.0,2.0,12.5,3.0,0,2,0,18.5,2.0,0.0,0.5
30,F1,28/08/10,Arles,Rennes,0.0,9.666666666666666,2.333333333333333,0,0,3,15.666666666666666,2.333333333333333,0.0,0.6666666666666666,18.0,4.333333333333334,1,2,0,18.0,1.6666666666666665,0.0,1.3333333333333333
31,F1,28/08/10,Caen,Brest,0.0,8.666666666666666,3.0,2,1,0,20.666666666666668,2.333333333333333,0.0,1.6666666666666665,12.666666666666666,2.333333333333333,0,1,2,22.0,2.333333333333333,0.0,0.3333333333333333
32,F1,28/08/10,Lorient,Lyon,2.0,11.0,3.0,0,1,2,11.666666666666666,2.333333333333333,0.0,1.0,15.0,4.666666666666667,1,1,1,15.333333333333334,1.3333333333333333,1.0,1.0
33,F1,28/08/10,Nancy,Toulouse,0.0,13.666666666666664,4.666666666666666,1,1,1,16.0,1.3333333333333333,1.0,1.0,7.666666666666666,3.333333333333333,3,0,0,21.666666666666664,3.333333333333333,0.0,2.0
34,F1,28/08/10,St Etienne,Lens,2.0,13.333333333333334,4.666666666666667,1,1,1,17.0,1.6666666666666665,0.0,1.3333333333333333,16.666666666666668,5.333333333333333,1,1,1,12.333333333333334,1.3333333333333333,0.0,1.3333333333333333
35,F1,28/08/10,Valenciennes,Montpellier,0.0,10.333333333333334,3.0,1,2,0,17.0,2.6666666666666665,0.0,1.3333333333333333,15.666666666666664,4.0,1,2,0,17.0,3.3333333333333335,0.0,0.3333333333333333
36,F1,29/08/10,Bordeaux,Marseille,1.0,9.333333333333334,2.6666666666666665,1,0,2,15.333333333333332,3.0,0.0,1.0,15.333333333333332,4.0,1,0,2,15.0,2.6666666666666665,0.0,1.6666666666666665
37,F1,29/08/10,Lille,Nice,1.0,14.0,4.333333333333334,0,3,0,15.999999999999998,2.0,0.0,0.3333333333333333,11.0,3.666666666666667,1,2,0,12.666666666666666,1.0,0.0,1.0
38,F1,29/08/10,Monaco,Auxerre,2.0,8.666666666666668,2.6666666666666665,0,3,0,20.333333333333336,3.0,0.0,0.6666666666666666,10.666666666666666,3.9999999999999996,0,3,0,16.333333333333332,3.0,0.0,1.3333333333333333
39,F1,29/08/10,Sochaux,Paris SG,2.0,13.0,4.333333333333333,1,1,1,14.0,1.3333333333333333,0.0,1.3333333333333333,14.666666666666666,5.333333333333333,1,1,1,12.0,2.3333333333333335,0.0,1.3333333333333333
40,F1,11/09/10,Auxerre,Caen,1.0,10.75,3.25,0,3,1,15.0,2.25,0.0,1.0,8.25,2.5,2,1,1,21.0,2.75,0.25,1.25
41,F1,11/09/10,Lens,Lille,0.0,15.75,5.5,1,1,2,13.75,1.25,0.0,1.25,14.75,4.5,0,4,0,15.25,1.5,0.0,0.5
42,F1,11/09/10,Lyon,Valenciennes,1.0,14.75,4.5,1,1,2,14.5,1.0,0.25,0.75,10.0,2.75,1,2,1,17.5,2.75,0.0,1.0
43,F1,11/09/10,Montpellier,Nancy,0.0,15.5,4.25,2,2,0,16.75,2.75,0.0,0.5,14.25,4.75,1,1,2,17.5,2.0,2.25,0.75
44,F1,11/09/10,Paris SG,Arles,2.0,15.75,6.0,1,1,2,12.75,2.0,0.25,1.25,10.25,2.75,0,0,4,14.5,2.0,0.0,0.5
45,F1,11/09/10,Rennes,Sochaux,2.0,15.25,3.5,2,2,0,17.5,1.5,0.0,1.25,13.5,5.0,2,1,1,14.0,1.5,0.0,1.75
46,F1,11/09/10,Toulouse,St Etienne,0.0,9.0,4.0,4,0,0,20.5,3.0,0.0,2.0,13.5,5.0,2,1,1,17.5,1.5,0.25,1.75
