,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
0,F1,12/8/2016,Bastia,Paris SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10511,26366,36877
1,F1,12/8/2016,Monaco,Guingamp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420,19416,28836
2,F1,13/08/16,Bordeaux,St Etienne,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24217,23040,47257
3,F1,13/08/16,Caen,Lorient,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15786,19914,35700
4,F1,13/08/16,Dijon,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10128,19547,29675
5,F1,13/08/16,Metz,Lille,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16196,18478,34674
6,F1,13/08/16,Montpellier,Angers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12356,20294,32650
7,F1,14/08/16,Marseille,Toulouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39898,19819,59717
8,F1,14/08/16,Nancy,Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17516,22257,39773
9,F1,14/08/16,Nice,Rennes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22949,19531,42480
10,F1,19/08/16,Lyon,Caen,2,9,7,1,1,0,14,2,0,3,15,6,1,0,0,13,1,0,3,38203,19992,58195
11,F1,20/08/16,Angers,Nice,0,12,2,0,1,1,12,2,0,0,7,1,1,0,0,12,0,0,1,11954,22293,34247
12,F1,20/08/16,Lille,Dijon,2,13,4,0,1,1,9,2,0,2,6,2,0,0,1,6,0,0,0,29487,19831,49318
13,F1,20/08/16,Lorient,Bastia,0,8,2,0,1,1,9,2,1,2,10,0,0,0,1,15,3,0,0,11832,20847,32679
14,F1,20/08/16,Nantes,Monaco,0,10,3,1,1,0,11,2,0,1,18,4,0,1,0,14,3,0,2,23152,24370,47522
15,F1,20/08/16,Rennes,Nancy,2,19,4,0,1,1,9,1,0,0,11,1,0,0,1,18,4,0,0,22689,18961,41650
16,F1,20/08/16,Toulouse,Bordeaux,2,6,2,0,1,0,12,1,0,0,10,6,1,0,0,9,1,0,3,17068,22352,39420
17,F1,21/08/16,Guingamp,Marseille,2,9,5,0,1,0,15,4,0,2,10,2,0,1,0,14,3,0,0,14790,25215,40005
18,F1,21/08/16,Paris SG,Metz,2,9,6,1,1,0,16,3,0,1,7,3,1,0,0,13,2,0,3,45159,19465,64624
19,F1,21/08/16,St Etienne,Montpellier,2,14,5,0,1,1,20,2,0,2,14,3,1,0,0,9,1,0,1,27227,18795,46022
20,F1,26/08/16,Marseille,Lorient,2,9,2.5,0,2,1,14.5,2,0,0.5,9,2.5,0,0,2,12,2,2,1,39898,19914,59812
21,F1,27/08/16,Caen,Bastia,2,11,3.5,1,1,1,13.5,2.5,0,1.5,13,3.5,1,0,1,13,3.5,0,1.5,15786,20847,36633
22,F1,27/08/16,Dijon,Lyon,2,6.5,2,0,1,2,10.5,1,0,0,15,7,2,0,0,15.5,2.5,0,2.5,10128,22257,32385
23,F1,27/08/16,Metz,Angers,2,9,4.5,1,1,1,9.5,1.5,0,1.5,16.5,4,0,0,2,11.5,1.5,0,0,16196,20294,36490
24,F1,27/08/16,Montpellier,Rennes,1,13.5,3,1,1,1,10.5,1,0,1,14,3.5,1,0,1,10,2.5,0,1,12356,19531,31887
25,F1,27/08/16,Nancy,Guingamp,0,9.5,1,0,1,2,13,3,0,0,11.5,4.5,1,1,0,12,2,0,2,17516,19416,36932
26,F1,27/08/16,Nice,Lille,1,10.5,4.5,2,1,0,11,1,0,1,11.5,3.5,1,0,1,10.5,1.5,0,1.5,22949,18478,41427
27,F1,28/08/16,Bordeaux,Nantes,2,9.5,4,1,1,1,11.5,2,0.5,2,9,2.5,1,0,1,13,2,0,0.5,24217,19547,43764
28,F1,28/08/16,Monaco,Paris SG,2,13,3.5,1,2,0,16,3.5,0,1.5,19,7,2,0,0,13,2,0,2,9420,26366,35786
29,F1,28/08/16,St Etienne,Toulouse,1,14,5,1,1,1,14.5,1.5,0,2.5,8.5,3.5,1,1,0,15.5,1,0,2,27227,19819,47046
30,F1,9/9/2016,Paris SG,St Etienne,1,14.66666667,5.333333333,2,2,1,12,2,0,1.666666667,14.66666667,4.333333333,1,1,1,12.66666667,1.666666667,0,1.666666667,45159,23040,68199
31,F1,10/9/2016,Angers,Dijon,2,18.66666667,5,0,2,3,11.33333333,1.666666667,0,0,7,3,1,0,2,10.66666667,1.333333333,0,1.333333333,11954,19831,31785
32,F1,10/9/2016,Bastia,Toulouse,2,10.33333333,2.666666667,1,2,2,15.33333333,4,0,1,8.666666667,3,1,2,0,15.66666667,1,0,1.333333333,10511,19819,30330
33,F1,10/9/2016,Guingamp,Montpellier,1,12.33333333,5,2,2,0,11.33333333,1.666666667,0,2,12.66666667,3.666666667,1,1,1,11.33333333,1,0,1,14790,18795,33585
34,F1,10/9/2016,Lille,Monaco,0,10.33333333,3.333333333,1,2,1,11.33333333,1.666666667,0,1.333333333,11.66666667,3,2,1,0,13.66666667,2.666666667,0,2,29487,24370,53857
35,F1,10/9/2016,Lorient,Nancy,0,9.333333333,3.333333333,0,2,3,11.66666667,1.666666667,1,0.666666667,12.66666667,1.666666667,0,0,3,11.66666667,2.666666667,0,0,11832,18961,30793
36,F1,10/9/2016,Lyon,Bordeaux,0,18.33333333,7.666666667,2,2,1,13.33333333,2.333333333,0,2.333333333,9.333333333,5,2,0,1,13,2,1,1.666666667,38203,22352,60555
37,F1,11/9/2016,Nantes,Metz,0,11.33333333,3.666666667,1,2,2,14,1.666666667,0,0.333333333,8.333333333,3.666666667,2,0,1,9.333333333,1.666666667,0,1.666666667,23152,19465,42617
38,F1,11/9/2016,Nice,Marseille,2,11.33333333,5,2,2,0,11.66666667,1.333333333,0,1,10.33333333,4.333333333,1,1,1,14.66666667,1.666666667,0,1,22949,25215,48164
39,F1,11/9/2016,Rennes,Caen,2,13.33333333,3,1,2,1,12,2.333333333,0,1,13,3.666666667,2,0,1,14,2,0,1.666666667,22689,19992,42681
40,F1,16/09/16,Caen,Paris SG,0,11.75,3.75,2,2,2,12.25,1.75,0,1.25,14.75,5,2,1,1,11.75,2,0,1.5,15786,26366,42152
41,F1,17/09/16,Bordeaux,Angers,0,9.5,5.25,3,2,1,11.5,1.75,0.25,2,17.25,5.5,1,0,3,11.75,1.5,0.25,0.75,24217,20294,44511
42,F1,17/09/16,Dijon,Metz,1,7,2.75,1,2,3,10.25,1.5,0.25,1.25,8.75,3.75,3,0,1,11.75,2.25,0,2,10128,19465,29593
43,F1,17/09/16,Lorient,Lille,2,9.25,3,0,2,4,11.5,1.25,0.75,0.5,9.25,3.25,1,1,2,13.25,2,0,1.25,11832,18478,30310
44,F1,17/09/16,Monaco,Rennes,2,11,3.75,3,3,0,13.5,2.25,0,2.5,11.25,3.25,2,1,1,12,2.25,0,1.25,9420,19531,28951
45,F1,17/09/16,Nancy,Nantes,1,11.25,2,1,2,3,13.75,3.25,0,0.5,11.75,3.5,1,0,3,12.5,1.5,0,0.25,17516,19547,37063
46,F1,17/09/16,Toulouse,Guingamp,2,8.5,3,1,3,1,17,1.75,0,1.25,12.25,4.75,2,2,0,12,1.5,0,1.75,17068,19416,36484
47,F1,18/09/16,Marseille,Lyon,1,11.25,4.5,1,3,2,14.75,2,0,1.25,16.5,6.75,2,0,2,13.5,2.25,0.25,2,39898,22257,62155
48,F1,18/09/16,Montpellier,Nice,1,10.75,3.25,1,3,1,12,1,0,1,13,5.5,3,1,0,11.25,1.5,0,1.5,12356,22293,34649
49,F1,18/09/16,St Etienne,Bastia,2,12.25,3.75,1,3,1,12.75,2.25,0,1.5,9,3,2,0,2,15.25,4,0,1.25,27227,20847,48074
