,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,09/08/13,Montpellier,Paris SG,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,10/08/13,Bordeaux,Monaco,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,10/08/13,Evian Thonon Gaillard,Sochaux,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,10/08/13,Lille,Lorient,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,10/08/13,Lyon,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,10/08/13,Nantes,Bastia,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,10/08/13,Rennes,Reims,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,10/08/13,Valenciennes,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,11/08/13,Ajaccio,St Etienne,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,11/08/13,Guingamp,Marseille,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,16/08/13,Sochaux,Lyon,0.0,9.0,6.0,0,1,0,18.0,2.0,0.0,1.0,12.0,6.0,1,0,0,20.0,1.0,0.0,4.0
11,F1,17/08/13,Bastia,Valenciennes,2.0,9.0,0.0,0,0,1,14.0,3.0,1.0,0.0,19.0,7.0,1,0,0,22.0,2.0,0.0,3.0
12,F1,17/08/13,Marseille,Evian Thonon Gaillard,2.0,16.0,7.0,1,0,0,19.0,4.0,0.0,3.0,15.0,8.0,0,1,0,13.0,1.0,0.0,1.0
13,F1,17/08/13,Nice,Rennes,2.0,11.0,5.0,0,0,1,9.0,0.0,0.0,0.0,13.0,6.0,1,0,0,7.0,1.0,0.0,2.0
14,F1,17/08/13,Reims,Lille,2.0,15.0,5.0,0,0,1,15.0,2.0,0.0,1.0,6.0,3.0,1,0,0,18.0,1.0,0.0,1.0
15,F1,17/08/13,St Etienne,Guingamp,2.0,8.0,2.0,1,0,0,20.0,1.0,0.0,1.0,13.0,5.0,0,0,1,16.0,2.0,0.0,1.0
16,F1,17/08/13,Toulouse,Bordeaux,1.0,2.0,1.0,0,0,1,12.0,0.0,1.0,0.0,11.0,2.0,0,0,1,16.0,1.0,0.0,0.0
17,F1,18/08/13,Lorient,Nantes,2.0,6.0,3.0,0,0,1,18.0,1.0,1.0,0.0,7.0,3.0,1,0,0,14.0,1.0,1.0,2.0
18,F1,18/08/13,Monaco,Montpellier,2.0,13.0,6.0,1,0,0,11.0,0.0,0.0,2.0,6.0,1.0,0,1,0,22.0,2.0,1.0,1.0
19,F1,18/08/13,Paris SG,Ajaccio,1.0,12.0,4.0,0,1,0,18.0,2.0,0.0,1.0,7.0,1.0,0,0,1,16.0,0.0,1.0,0.0
20,F1,23/08/13,Monaco,Toulouse,1.0,13.0,6.5,2,0,0,16.0,1.0,0.0,3.0,7.0,3.5,0,1,1,14.0,1.5,1.0,0.5
21,F1,24/08/13,Bordeaux,Bastia,2.0,9.5,3.0,0,1,1,16.5,1.0,0.5,0.5,9.0,1.0,1,0,1,13.5,2.5,1.0,1.0
22,F1,24/08/13,Evian Thonon Gaillard,Rennes,0.0,15.5,6.0,0,1,1,12.5,1.0,0.0,0.5,8.5,4.5,1,0,1,13.0,1.0,1.0,1.5
23,F1,24/08/13,Guingamp,Lorient,2.0,9.0,3.5,0,0,2,13.5,2.5,0.0,0.5,10.0,5.5,1,0,1,13.0,1.0,1.0,1.0
24,F1,24/08/13,Lyon,Reims,0.0,13.5,7.0,2,0,0,19.5,0.5,0.0,3.5,12.5,4.0,1,0,1,13.5,1.5,0.0,1.5
25,F1,24/08/13,Montpellier,Sochaux,2.0,5.5,2.0,0,1,1,18.5,2.5,1.0,1.0,10.0,7.0,0,1,1,16.0,2.5,0.0,1.0
26,F1,24/08/13,Valenciennes,Marseille,0.0,13.0,5.0,1,0,1,18.5,2.0,0.0,1.5,12.0,5.0,2,0,0,15.0,3.5,0.0,2.5
27,F1,25/08/13,Ajaccio,Nice,1.0,4.0,1.0,0,1,1,13.5,1.5,0.5,0.5,13.0,5.0,1,0,1,10.5,0.0,0.0,1.0
28,F1,25/08/13,Lille,St Etienne,2.0,10.5,3.0,1,0,1,16.0,0.5,0.0,1.0,8.5,1.5,2,0,0,16.5,2.5,0.0,1.0
29,F1,25/08/13,Nantes,Paris SG,0.0,7.5,3.0,1,0,1,16.5,1.0,0.5,1.5,24.5,9.5,0,2,0,17.5,2.0,0.0,1.0
30,F1,31/08/13,Bastia,Toulouse,2.0,7.333333333333333,1.3333333333333333,1,0,2,14.666666666666668,2.333333333333333,0.3333333333333333,0.6666666666666666,5.666666666666667,2.3333333333333335,0,2,1,17.333333333333332,2.0,1.0,0.3333333333333333
31,F1,31/08/13,Evian Thonon Gaillard,Lyon,2.0,16.0,5.666666666666667,0,1,2,11.666666666666666,1.3333333333333333,0.0,0.6666666666666666,15.333333333333332,6.333333333333333,2,0,1,18.666666666666668,0.6666666666666666,0.0,2.333333333333333
32,F1,31/08/13,Lorient,Valenciennes,2.0,10.333333333333334,5.333333333333333,1,0,2,14.333333333333332,1.3333333333333333,0.3333333333333333,0.6666666666666666,11.0,4.0,1,0,2,19.666666666666664,1.6666666666666665,0.0,1.0
33,F1,31/08/13,Paris SG,Guingamp,2.0,20.666666666666668,8.333333333333332,1,2,0,16.333333333333336,1.6666666666666665,0.0,1.3333333333333333,9.333333333333334,3.3333333333333335,1,0,2,14.666666666666668,2.333333333333333,0.0,1.0
34,F1,31/08/13,Reims,Nantes,1.0,10.333333333333334,3.3333333333333335,2,0,1,13.333333333333332,1.6666666666666665,0.0,1.3333333333333333,9.333333333333332,3.0,1,0,2,14.333333333333334,1.0,0.3333333333333333,1.3333333333333333
35,F1,31/08/13,Rennes,Lille,1.0,9.333333333333332,4.333333333333333,2,0,1,13.333333333333332,1.6666666666666665,0.3333333333333333,1.6666666666666665,11.0,3.666666666666667,2,0,1,14.333333333333334,1.0,0.0,1.0
36,F1,31/08/13,Sochaux,Ajaccio,1.0,9.666666666666666,4.999999999999999,0,1,2,16.333333333333336,2.6666666666666665,0.3333333333333333,1.0,4.333333333333334,1.3333333333333333,0,2,1,15.666666666666668,1.0,0.3333333333333333,0.3333333333333333
37,F1,01/09/13,Marseille,Monaco,0.0,14.0,5.333333333333334,3,0,0,15.0,3.333333333333333,0.0,1.9999999999999998,15.666666666666666,6.000000000000001,2,1,0,16.333333333333332,1.0,0.0,2.0
38,F1,01/09/13,Nice,Montpellier,1.0,12.0,4.0,1,1,1,11.333333333333332,0.0,0.0,0.6666666666666666,7.666666666666667,2.6666666666666665,1,1,1,20.333333333333332,2.333333333333333,1.3333333333333333,1.3333333333333333
39,F1,01/09/13,St Etienne,Bordeaux,2.0,7.666666666666666,1.6666666666666665,2,0,1,17.666666666666668,1.9999999999999998,0.0,0.6666666666666666,10.333333333333332,3.666666666666667,1,1,1,15.333333333333332,1.3333333333333333,1.0,0.6666666666666666
40,F1,13/09/13,Bordeaux,Paris SG,0.0,11.0,4.0,1,1,2,14.0,1.25,0.25,0.75,21.75,8.0,2,2,0,15.5,1.5,0.0,1.5
41,F1,14/09/13,Ajaccio,Evian Thonon Gaillard,0.0,5.5,1.5,0,3,1,14.5,1.0,0.25,0.25,15.75,5.5,1,1,2,11.25,1.25,0.0,1.0
42,F1,14/09/13,Guingamp,Bastia,1.0,8.75,2.75,1,0,3,14.75,2.25,0.0,0.75,7.25,2.0,2,0,2,14.75,2.25,1.25,1.0
43,F1,14/09/13,Montpellier,Reims,1.0,7.0,2.75,1,2,1,20.0,2.75,0.75,1.5,9.5,3.0,2,1,1,12.75,1.5,0.0,1.0
44,F1,14/09/13,Nantes,Sochaux,2.0,9.25,2.75,1,1,2,11.5,0.75,0.25,1.0,11.5,5.0,0,2,2,14.25,2.25,1.0,0.75
45,F1,14/09/13,Toulouse,Marseille,1.0,6.5,2.5,0,2,2,17.5,2.5,0.25,0.5,13.0,4.5,3,0,1,15.25,3.0,0.0,1.75
46,F1,14/09/13,Valenciennes,St Etienne,0.0,10.25,3.25,1,0,3,19.5,1.5,0.25,0.75,8.75,2.5,3,0,1,17.5,2.0,0.0,1.0
47,F1,15/09/13,Lille,Nice,0.0,10.75,3.0,2,1,1,14.5,1.25,0.0,0.75,12.0,4.0,1,2,1,13.0,0.75,0.0,1.0
48,F1,15/09/13,Lyon,Rennes,1.0,13.0,5.25,2,0,2,17.25,0.75,0.0,2.0,9.75,3.75,2,1,1,12.5,1.5,1.0,1.25
